symbol,status,rows,first_date,last_date,attempts,error,retrieved_at,universe_snapshot_date,start_date,end_date
508092,available,372,2025-02-26,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
508093,available,71,2026-05-26,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
508096,available,832,2023-03-29,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
508097,available,426,2024-12-03,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
508098,available,867,2023-02-08,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
508099,available,1141,2021-12-17,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
508600,available,54,2026-06-18,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
508601,available,54,2026-06-18,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
508602,available,54,2026-06-18,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
508603,available,54,2026-06-18,2026-09-02,1,,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
508605,no_history,0,,,1,AKShare Sina returned no history for 508605,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
508606,no_history,0,,,1,AKShare Sina returned no history for 508606,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
508607,no_history,0,,,1,AKShare Sina returned no history for 508607,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
508609,no_history,0,,,1,AKShare Sina returned no history for 508609,2026-09-05T22:26:39.788105+08:00,2026-08-28,20210621,20260902
