rebalance_frequency,signal_date,entry_date,factor,symbol,factor_value,selected_count,eligible_universe_count,capacity_at_5pct_adv_rmb
monthly,2024-07-31,2024-08-01,short_term_reversal_5d,508001,0.0031579986183754016,7,35,1878483.8974999997
monthly,2024-07-31,2024-08-01,short_term_reversal_5d,508098,0.002090592334494823,7,35,1878483.8974999997
monthly,2024-07-31,2024-08-01,short_term_reversal_5d,508026,0.0020414114902302938,7,35,1878483.8974999997
monthly,2024-07-31,2024-08-01,short_term_reversal_5d,508018,0.0015957446808509967,7,35,1878483.8974999997
monthly,2024-07-31,2024-08-01,short_term_reversal_5d,180601,-0.0,7,35,1878483.8974999997
monthly,2024-07-31,2024-08-01,liquidity_20d,508028,16.95218090154928,7,35,5153564.6575
monthly,2024-07-31,2024-08-01,liquidity_20d,508021,16.648621237927184,7,35,5153564.6575
monthly,2024-07-31,2024-08-01,liquidity_20d,508009,16.597282051707413,7,35,5153564.6575
monthly,2024-07-31,2024-08-01,liquidity_20d,508008,16.576054301701177,7,35,5153564.6575
monthly,2024-07-31,2024-08-01,liquidity_20d,508058,16.537412850978694,7,35,5153564.6575
monthly,2024-07-31,2024-08-01,liquidity_20d,508088,16.52533062526224,7,35,5153564.6575
monthly,2024-07-31,2024-08-01,liquidity_20d,508098,16.505021324206695,7,35,5153564.6575
monthly,2024-07-31,2024-08-01,low_illiquidity_20d,180601,-0.003533701359911734,7,35,2864463.8221150003
monthly,2024-07-31,2024-08-01,low_illiquidity_20d,508018,-0.011676992776614045,7,35,2864463.8221150003
monthly,2024-07-31,2024-08-01,low_illiquidity_20d,508001,-0.012240238843885858,7,35,2864463.8221150003
monthly,2024-07-31,2024-08-01,low_illiquidity_20d,508028,-0.014174772092406104,7,35,2864463.8221150003
monthly,2024-07-31,2024-08-01,low_illiquidity_20d,508008,-0.016912723094087388,7,35,2864463.8221150003
monthly,2024-07-31,2024-08-01,low_illiquidity_20d,508088,-0.017307767206065926,7,35,2864463.8221150003
monthly,2024-07-31,2024-08-01,low_illiquidity_20d,508098,-0.01837400631412564,7,35,2864463.8221150003
monthly,2024-07-31,2024-08-01,low_volatility_20d,180601,-0.005517098067235015,7,35,2000320.9622024999
monthly,2024-07-31,2024-08-01,low_volatility_20d,508001,-0.019582959682770396,7,35,2000320.9622024999
