snapshot_date,symbol,name,exchange,listing_date,source_url,membership_method,verification_status
2025-03-31,508089,华夏特变电工新能源REIT,SSE,2024-07-02,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-07-02/508089_20240702_WLD9.pdf,official_listing_date_reconstruction,official_metadata_verified
2025-03-31,508092,华夏金隅智造工场REIT,SSE,2025-02-26,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-02-26/508092_20250226_M3BZ.pdf,official_listing_date_reconstruction,official_metadata_verified
2025-03-31,508096,中航京能国际能源REIT,SSE,2023-03-29,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-03-29/508096_20230329_4X1X.pdf,official_listing_date_reconstruction,official_metadata_verified
2025-03-31,508097,华泰南京建邺REIT,SSE,2024-12-03,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-12-03/508097_20241203_F0VL.pdf,official_listing_date_reconstruction,official_metadata_verified
2025-03-31,508098,嘉实京东仓储基础设施REIT,SSE,2023-02-08,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-02-08/508098_20230208_MTLG.pdf,official_listing_date_reconstruction,official_metadata_verified
2025-03-31,508099,建信中关村REIT,SSE,2021-12-17,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2021-12-17/508099_20211217_1_t3MBtb7n.pdf,official_listing_date_reconstruction,official_metadata_verified
2025-04-30,180101,博时蛇口产园REIT,SZSE,2021-06-21,https://disc.static.szse.cn/disc/disk02/finalpage/2021-06-21/102aa6f2-71be-4f5a-adf3-471bf035b0ec.PDF,official_listing_date_reconstruction,official_metadata_verified
2025-04-30,180102,华夏合肥高新REIT,SZSE,2022-10-10,https://disc.static.szse.cn/disc/disk03/finalpage/2022-10-10/9d614593-5b0e-464d-9040-08d08a13acf6.PDF,official_listing_date_reconstruction,official_metadata_verified
2025-04-30,180103,华夏和达高科REIT,SZSE,2022-12-27,https://disc.static.szse.cn/disc/disk03/finalpage/2022-12-27/73073898-e946-47b4-b7f9-500e71afccf5.PDF,official_listing_date_reconstruction,official_metadata_verified
2025-04-30,180105,易方达广开产园REIT,SZSE,2024-09-23,https://disc.static.szse.cn/disc/disk03/finalpage/2024-09-23/ce70fbc3-c30d-4c97-ba09-4f5bf7a18896.PDF,official_listing_date_reconstruction,official_metadata_verified
2025-04-30,180106,广发成都高投产业园REIT,SZSE,2024-12-19,https://disc.static.szse.cn/disc/disk03/finalpage/2024-12-19/a98807a3-583f-425a-a943-c55a6874a70c.PDF,official_listing_date_reconstruction,official_metadata_verified
2025-04-30,180201,平安广州广河REIT,SZSE,2021-06-21,https://disc.static.szse.cn/disc/disk02/finalpage/2021-06-21/edc76ee0-8c4a-4a66-b0b2-acf5f257eb72.PDF,official_listing_date_reconstruction,official_metadata_verified
2025-04-30,180202,华夏越秀高速REIT,SZSE,2021-12-14,https://disc.static.szse.cn/disc/disk02/finalpage/2021-12-14/31bf41a1-23b9-480a-80b9-bcfefe3873e1.PDF,official_listing_date_reconstruction,official_metadata_verified
2025-04-30,180203,招商高速公路REIT,SZSE,2024-11-21,https://disc.static.szse.cn/disc/disk03/finalpage/2024-11-21/30dd5c18-4bd2-476c-9b1a-372649a93f4d.PDF,official_listing_date_reconstruction,official_metadata_verified
