symbol,listing_date,publication_date,exchange,source_url,evidence_method,verification_status,raw_text
508036,2024-12-26,2024-12-26,SSE,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-12-26/508036_20241226_G50I.pdf,official_listing_notice_title,official_metadata_verified,平安宁波交投杭州湾跨海大桥封闭式基础设施证券投资基金上市交易提示性公告
508039,2025-07-25,2025-07-25,SSE,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-07-25/508039_20250725_6WS4.pdf,official_listing_notice_title,official_metadata_verified,创金合信首农产业园封闭式基础设施证券投资基金上市交易提示性公告
508048,2024-12-25,2024-12-25,SSE,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-12-25/508048_20241225_NCNK.pdf,official_listing_notice_title,official_metadata_verified,华安外高桥仓储物流封闭式基础设施证券投资基金上市交易提示性公告
508050,2026-02-02,2026-02-02,SSE,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-02-02/508050_20260202_98HK.pdf,official_listing_notice_title,official_metadata_verified,华夏中核清洁能源封闭式基础设施证券投资基金上市交易提示性公告
508055,2025-03-31,2025-03-31,SSE,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-03-31/508055_20250331_15E4.pdf,official_listing_notice_title,official_metadata_verified,汇添富上海地产租赁住房封闭式基础设施证券投资基金上市交易提示性公告
508056,2021-06-21,2021-06-21,SSE,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2021-06-21/508056_20210621_1_Pvz1qgD6.pdf,official_listing_notice_title,official_metadata_verified,中金普洛斯仓储物流封闭式基础设施证券投资基金上市交易提示性公告
508058,2022-08-31,2022-08-31,SSE,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2022-08-31/508058_20220831_2_HzBfWn0M.pdf,official_listing_notice_title,official_metadata_verified,中金厦门安居保障性租赁住房封闭式基础设施证券投资基金上市交易提示性公告
508059,2026-08-07,2026-08-07,SSE,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-08-07/508059_20260807_CAB5.pdf,official_listing_notice_title,official_metadata_verified,华泰三峡清洁能源封闭式基础设施证券投资基金上市交易提示性公告
508060,2025-08-08,2025-08-08,SSE,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-08-08/508060_20250808_YO7W.pdf,official_listing_notice_title,official_metadata_verified,南方万国数据中心封闭式基础设施证券投资基金上市交易提示性公告
508066,2022-11-15,2022-11-15,SSE,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2022-11-15/508066_20221115_8Z9T.pdf,official_listing_notice_title,official_metadata_verified,华泰紫金江苏交控高速公路封闭式基础设施证券投资基金上市交易提示性公告
508068,2022-08-31,2022-08-31,SSE,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2022-08-31/508068_20220831_2_ElgrviDx.pdf,official_listing_notice_title,official_metadata_verified,华夏北京保障房中心租赁住房封闭式基础设施证券投资基金上市交易提示性公告
508069,2024-11-01,2024-11-01,SSE,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-11-01/508069_20241101_WHNB.pdf,official_listing_notice_title,official_metadata_verified,华夏南京交通高速公路封闭式基础设施证券投资基金上市交易提示性公告
508077,2022-12-09,2022-12-09,SSE,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2022-12-09/508077_20221209_VY81.pdf,official_listing_notice_title,official_metadata_verified,华夏基金华润有巢租赁住房封闭式基础设施证券投资基金上市交易提示性公告
508078,2025-01-24,2025-01-24,SSE,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-01-24/508078_20250124_1YT3.pdf,official_listing_notice_title,official_metadata_verified,中航易商仓储物流封闭式基础设施证券投资基金上市交易提示性公告
508080,2025-06-26,2025-06-26,SSE,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-06-26/508080_20250626_XCXQ.pdf,official_listing_notice_title,official_metadata_verified,中金亦庄产业园封闭式基础设施证券投资基金上市交易提示性公告
508082,2025-09-12,2025-09-12,SSE,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-09-12/508082_20250912_B31N.pdf,official_listing_notice_title,official_metadata_verified,中金唯品会奥特莱斯封闭式基础设施证券投资基金上市交易提示性公告
508084,2025-02-27,2025-02-27,SSE,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-02-27/508084_20250227_7LRQ.pdf,official_listing_notice_title,official_metadata_verified,汇添富九州通医药仓储物流封闭式基础设施证券投资基金上市交易提示性公告
508085,2025-05-21,2025-05-21,SSE,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-05-21/508085_20250521_QRPW.pdf,official_listing_notice_title,official_metadata_verified,华泰紫金苏州恒泰租赁住房封闭式基础设施证券投资基金上市交易提示性公告
508086,2024-06-28,2024-06-28,SSE,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-06-28/508086_20240628_AVZI.pdf,official_listing_notice_title,official_metadata_verified,工银瑞信河北高速集团高速公路封闭式基础设施证券投资基金上市交易提示性公告
