symbol,asset_id,weather_point_id,period_end,data_kind,latitude,longitude,precipitation_sum_mm,rain_sum_mm,snowfall_sum_cm,temperature_2m_mean_c,et0_fao_evapotranspiration_sum_mm,weather_days,source_url,retrieved_at,source_note
508026,wuyiqiao_1_5,wuyiqiao_asset_point,2015-09-30,ex_post_reanalysis_era5,28.750000,101.750000,711.900000,711.500000,0.280000,19.100000,267.120000,92,https://archive-api.open-meteo.com/v1/archive?models=era5,2026-08-29,固定ERA5模型；电站点位代理；ex-post再分析；不可视为历史交易时点已知预报；非流域面积加权降雨
508026,wuyiqiao_1_5,wuyiqiao_asset_point,2015-12-31,ex_post_reanalysis_era5,28.750000,101.750000,174.800000,111.200000,51.030000,9.655435,208.290000,92,https://archive-api.open-meteo.com/v1/archive?models=era5,2026-08-29,固定ERA5模型；电站点位代理；ex-post再分析；不可视为历史交易时点已知预报；非流域面积加权降雨
508026,wuyiqiao_1_5,wuyiqiao_asset_point,2016-03-31,ex_post_reanalysis_era5,28.750000,101.750000,117.600000,20.100000,76.650000,4.336264,244.030000,91,https://archive-api.open-meteo.com/v1/archive?models=era5,2026-08-29,固定ERA5模型；电站点位代理；ex-post再分析；不可视为历史交易时点已知预报；非流域面积加权降雨
508026,wuyiqiao_1_5,wuyiqiao_asset_point,2016-06-30,ex_post_reanalysis_era5,28.750000,101.750000,720.200000,663.200000,40.250000,16.684615,323.690000,91,https://archive-api.open-meteo.com/v1/archive?models=era5,2026-08-29,固定ERA5模型；电站点位代理；ex-post再分析；不可视为历史交易时点已知预报；非流域面积加权降雨
508026,wuyiqiao_1_5,wuyiqiao_asset_point,2016-09-30,ex_post_reanalysis_era5,28.750000,101.750000,579.000000,573.300000,3.990000,20.272826,297.410000,92,https://archive-api.open-meteo.com/v1/archive?models=era5,2026-08-29,固定ERA5模型；电站点位代理；ex-post再分析；不可视为历史交易时点已知预报；非流域面积加权降雨
508026,wuyiqiao_1_5,wuyiqiao_asset_point,2016-12-31,ex_post_reanalysis_era5,28.750000,101.750000,161.600000,114.400000,39.130000,12.369565,214.550000,92,https://archive-api.open-meteo.com/v1/archive?models=era5,2026-08-29,固定ERA5模型；电站点位代理；ex-post再分析；不可视为历史交易时点已知预报；非流域面积加权降雨
508026,wuyiqiao_1_5,wuyiqiao_asset_point,2017-03-31,ex_post_reanalysis_era5,28.750000,101.750000,136.200000,20.400000,92.540000,7.776667,253.570000,90,https://archive-api.open-meteo.com/v1/archive?models=era5,2026-08-29,固定ERA5模型；电站点位代理；ex-post再分析；不可视为历史交易时点已知预报；非流域面积加权降雨
508026,wuyiqiao_1_5,wuyiqiao_asset_point,2017-06-30,ex_post_reanalysis_era5,28.750000,101.750000,587.400000,514.700000,52.220000,16.274725,315.980000,91,https://archive-api.open-meteo.com/v1/archive?models=era5,2026-08-29,固定ERA5模型；电站点位代理；ex-post再分析；不可视为历史交易时点已知预报；非流域面积加权降雨
508026,wuyiqiao_1_5,wuyiqiao_asset_point,2017-09-30,ex_post_reanalysis_era5,28.750000,101.750000,650.200000,650.200000,0.000000,20.616304,307.770000,92,https://archive-api.open-meteo.com/v1/archive?models=era5,2026-08-29,固定ERA5模型；电站点位代理；ex-post再分析；不可视为历史交易时点已知预报；非流域面积加权降雨
508026,wuyiqiao_1_5,wuyiqiao_asset_point,2017-12-31,ex_post_reanalysis_era5,28.750000,101.750000,198.800000,148.400000,45.010000,11.757609,197.390000,92,https://archive-api.open-meteo.com/v1/archive?models=era5,2026-08-29,固定ERA5模型；电站点位代理；ex-post再分析；不可视为历史交易时点已知预报；非流域面积加权降雨
508026,wuyiqiao_1_5,wuyiqiao_asset_point,2018-03-31,ex_post_reanalysis_era5,28.750000,101.750000,150.800000,30.300000,92.400000,7.290000,257.190000,90,https://archive-api.open-meteo.com/v1/archive?models=era5,2026-08-29,固定ERA5模型；电站点位代理；ex-post再分析；不可视为历史交易时点已知预报；非流域面积加权降雨
508026,wuyiqiao_1_5,wuyiqiao_asset_point,2018-06-30,ex_post_reanalysis_era5,28.750000,101.750000,635.200000,588.800000,33.320000,16.628571,320.250000,91,https://archive-api.open-meteo.com/v1/archive?models=era5,2026-08-29,固定ERA5模型；电站点位代理；ex-post再分析；不可视为历史交易时点已知预报；非流域面积加权降雨
508026,wuyiqiao_1_5,wuyiqiao_asset_point,2018-09-30,ex_post_reanalysis_era5,28.750000,101.750000,700.400000,700.400000,0.000000,20.531522,299.450000,92,https://archive-api.open-meteo.com/v1/archive?models=era5,2026-08-29,固定ERA5模型；电站点位代理；ex-post再分析；不可视为历史交易时点已知预报；非流域面积加权降雨
