symbol,quarterly_report_count,semiannual_report_count,annual_report_count,distribution_announcement_count,first_announcement_date,latest_announcement_date,asset_type,classification_status,asset_type_source_url,listing_date,listing_source_url,listing_status,has_periodic_report,has_distribution_announcement
508015,8,2,2,5,2024-06-24,2026-07-23,renewable,official_title_evidence,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508015_20260721_ICJD.pdf,2024-07-23,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-07-23/508015_20240723_DCBO.pdf,listed,True,True
508016,4,0,1,1,2025-06-24,2026-07-21,renewable,official_title_evidence,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508016_20260721_0CI6.pdf,2025-08-01,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-08-01/508016_20250801_87UP.pdf,listed,True,True
508017,10,2,2,10,2023-12-20,2026-08-14,retail,official_title_evidence,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508017_20260721_GLNA.pdf,2024-03-12,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-03-12/508017_20240312_KTDH.pdf,listed,True,True
508018,17,4,4,17,2022-03-24,2026-08-20,toll_road,human_verified,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-03-29/508018_20250329_2AXB.pdf,2022-04-28,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2022-04-28/508018_20220428_1_lD5zZ07V.pdf,listed,True,True
508019,12,3,3,10,2023-05-24,2026-08-28,industrial_park,official_title_evidence,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-08-28/508019_20260828_N6SY.pdf,2023-06-30,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-06-30/508019_20230630_4BP4.pdf,listed,True,True
508020,1,0,0,0,2026-03-20,2026-08-17,toll_road,official_title_evidence,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508020_20260721_02RB.pdf,2026-04-22,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-04-22/508020_20260422_O9B3.pdf,listed,True,False
508021,15,3,4,4,2022-09-07,2026-08-22,industrial_park,official_title_evidence,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508021_20260721_RD21.pdf,2022-10-13,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2022-10-13/508021_20221013_1_r2Krr0xA.pdf,listed,True,True
508022,7,1,2,5,2024-08-08,2026-08-27,industrial_park,official_title_evidence,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508022_20260721_0HX9.pdf,2024-09-19,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-09-19/508022_20240919_FG1F.pdf,listed,True,True
508026,10,2,2,4,2024-02-27,2026-08-05,hydropower,human_verified,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-04-22/508026_20260422_21XV.pdf,2024-03-28,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-03-28/508026_20240328_TQ56.pdf,listed,True,True
508027,20,4,5,5,2021-05-19,2026-08-14,industrial_park,official_title_evidence,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508027_20260721_8PEF.pdf,2021-06-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2021-06-21/508027_20210621_1_gmgBeN1i.pdf,listed,True,True
508028,13,3,3,8,2023-03-06,2026-08-13,wind,human_verified,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508028_20260721_W0FA.pdf,2023-03-29,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-03-29/508028_20230329_5RUS.pdf,listed,True,True
508029,3,0,1,2,2025-09-24,2026-08-12,industrial_park,official_title_evidence,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508029_20260721_W4R4.pdf,2025-11-06,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-11-06/508029_20251106_MYPQ.pdf,listed,True,True
508030,0,0,0,0,2026-05-08,2026-08-17,renewable,official_title_evidence,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-08-17/508030_20260817_76BF.pdf,2026-07-28,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-28/508030_20260728_JS8C.pdf,listed,False,False
508031,10,2,2,4,2023-12-13,2026-07-22,rental_housing,official_title_evidence,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508031_20260721_2T7R.pdf,2024-01-12,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-01-12/508031_20240112_FJ4M.pdf,listed,True,True
508033,9,2,2,8,2024-02-23,2026-08-21,toll_road,official_title_evidence,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508033_20260721_M1OB.pdf,2024-03-29,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-03-29/508033_20240329_R0NW.pdf,listed,True,True
508036,6,2,1,6,2024-11-22,2026-08-28,toll_road,official_title_evidence,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-08-28/508036_20260828_64F8.pdf,2024-12-26,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-12-26/508036_20241226_G50I.pdf,listed,True,True
