symbol,asset_type,classification_status,classification_method,evidence_phrase,publication_date,source_url,raw_title
508018,toll_road,human_verified,official_source_manual_review,2024年年度报告,,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-03-29/508018_20250329_2AXB.pdf,华夏中国交建REIT
508019,industrial_park,official_title_evidence,official_announcement_title_keyword,产业园,2026-08-28,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-08-28/508019_20260828_N6SY.pdf,中金湖北科投光谷产业园封闭式基础设施证券投资基金2026年中期报告
508020,toll_road,official_title_evidence,official_announcement_title_keyword,高速公路,2026-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508020_20260721_02RB.pdf,东方红隧道股份高速公路封闭式基础设施证券投资基金2026年第2季度报告
508021,industrial_park,official_title_evidence,official_announcement_title_keyword,产业园,2026-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508021_20260721_RD21.pdf,国泰海通临港创新智造产业园封闭式基础设施证券投资基金2026年第2季度报告
508022,industrial_park,official_title_evidence,official_announcement_title_keyword,产业园,2026-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508022_20260721_0HX9.pdf,博时津开科工产业园封闭式基础设施证券投资基金2026年第2季度报告
508026,hydropower,human_verified,official_source_manual_review,水电试点正式季度报告,,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-04-22/508026_20260422_21XV.pdf,嘉实中国电建清洁能源REIT
508027,industrial_park,official_title_evidence,official_announcement_title_keyword,产业园,2026-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508027_20260721_8PEF.pdf,东吴苏州工业园区产业园封闭式基础设施证券投资基金2026年第2季度报告
508028,wind,human_verified,official_source_manual_review,2026年第2季度报告及连续季度海上风电运营指标,,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508028_20260721_W0FA.pdf,中信建投国家电投新能源REIT
508029,industrial_park,official_title_evidence,official_announcement_title_keyword,软件园,2026-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508029_20260721_W4R4.pdf,中信建投沈阳国际软件园封闭式基础设施证券投资基金2026年第2季度报告
508030,renewable,official_title_evidence,official_announcement_title_keyword,新能源,2026-08-17,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-08-17/508030_20260817_76BF.pdf,中航基金管理有限公司关于中航中核汇能新能源封闭式基础设施证券投资基金新增做市商的公告
508031,rental_housing,official_title_evidence,official_announcement_title_keyword,租赁住房,2026-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508031_20260721_2T7R.pdf,国泰海通城投宽庭保障性租赁住房封闭式基础设施证券投资基金2026年第2季度报告
508033,toll_road,official_title_evidence,official_announcement_title_keyword,高速公路,2026-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508033_20260721_M1OB.pdf,易方达深高速高速公路封闭式基础设施证券投资基金2026年第2季度报告
508036,toll_road,official_title_evidence,official_announcement_title_keyword,跨海大桥,2026-08-28,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-08-28/508036_20260828_64F8.pdf,平安宁波交投杭州湾跨海大桥封闭式基础设施证券投资基金2026年中期报告
508039,industrial_park,official_title_evidence,official_announcement_title_keyword,产业园,2026-08-28,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-08-28/508039_20260828_49GQ.pdf,创金合信首农产业园封闭式基础设施证券投资基金2026年中期报告
508047,heating,official_title_evidence,official_announcement_title_keyword,供热,2026-08-27,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-08-27/508047_20260827_1W9R.pdf,山证晋中公投瑞阳供热封闭式基础设施证券投资基金基金份额询价公告
508048,logistics,official_title_evidence,official_announcement_title_keyword,仓储物流,2026-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508048_20260721_1SPC.pdf,华安外高桥仓储物流封闭式基础设施证券投资基金2026年第2季度报告
508050,renewable,official_title_evidence,official_announcement_title_keyword,清洁能源,2026-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508050_20260721_D13H.pdf,华夏中核清洁能源封闭式基础设施证券投资基金2026年第2季度报告
508055,rental_housing,official_title_evidence,official_announcement_title_keyword,租赁住房,2026-07-17,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-17/508055_20260717_NDL7.pdf,汇添富上海地产租赁住房封闭式基础设施证券投资基金2026年第2季度报告
508056,logistics,human_verified,official_source_manual_review,2024年年度报告,,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-03-28/508056_20250328_6KQ4.pdf,中金普洛斯REIT
508058,rental_housing,official_title_evidence,official_announcement_title_keyword,租赁住房,2026-08-28,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-08-28/508058_20260828_PKB5.pdf,中金厦门安居保障性租赁住房封闭式基础设施证券投资基金2026年中期报告
508059,renewable,official_title_evidence,official_announcement_title_keyword,清洁能源,2026-08-19,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-08-19/508059_20260819_858N.pdf,华泰三峡清洁能源封闭式基础设施证券投资基金购入不动产项目交割审计情况的公告
508060,data_center,official_title_evidence,official_announcement_title_keyword,数据中心,2026-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508060_20260721_THW6.pdf,南方万国数据中心封闭式基础设施证券投资基金2026年第2季度报告
508066,toll_road,official_title_evidence,official_announcement_title_keyword,高速公路,2026-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508066_20260721_G7KR.pdf,华泰紫金江苏交控高速公路封闭式基础设施证券投资基金2026年第2季度报告
508068,rental_housing,official_title_evidence,official_announcement_title_keyword,租赁住房,2026-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508068_20260721_FCT4.pdf,华夏北京保障房中心租赁住房封闭式基础设施证券投资基金2026年第2季度报告
508069,toll_road,official_title_evidence,official_announcement_title_keyword,高速公路,2026-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508069_20260721_WTSN.pdf,华夏南京交通高速公路封闭式基础设施证券投资基金2026年第2季度报告
508077,rental_housing,official_title_evidence,official_announcement_title_keyword,租赁住房,2026-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508077_20260721_RA5T.pdf,华夏基金华润有巢租赁住房封闭式基础设施证券投资基金2026年第2季度报告
508078,logistics,official_title_evidence,official_announcement_title_keyword,仓储物流,2026-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508078_20260721_2E36.pdf,中航易商仓储物流封闭式基础设施证券投资基金2026年第2季度报告
508080,industrial_park,official_title_evidence,official_announcement_title_keyword,产业园,2026-08-28,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-08-28/508080_20260828_1IQ9.pdf,中金亦庄产业园封闭式基础设施证券投资基金2026年中期报告
508082,retail,official_title_evidence,official_announcement_title_keyword,奥特莱斯,2026-08-28,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-08-28/508082_20260828_34H2.pdf,中金唯品会奥特莱斯封闭式基础设施证券投资基金2026年中期报告
508084,logistics,official_title_evidence,official_announcement_title_keyword,仓储物流,2026-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508084_20260721_4SLM.pdf,汇添富九州通医药仓储物流封闭式基础设施证券投资基金2026年度第2季度报告
508085,rental_housing,official_title_evidence,official_announcement_title_keyword,租赁住房,2026-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508085_20260721_QQW0.pdf,华泰紫金苏州恒泰租赁住房封闭式基础设施证券投资基金2026年第2季度报告
508086,toll_road,official_title_evidence,official_announcement_title_keyword,高速公路,2026-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508086_20260721_0SH6.pdf,工银瑞信河北高速集团高速公路封闭式基础设施证券投资基金2026年第2季度报告
508087,heating,official_title_evidence,official_announcement_title_keyword,供热,2026-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508087_20260721_PW4Q.pdf,国泰海通济南能源供热封闭式基础设施证券投资基金2026年第2季度报告
508088,industrial_park,official_title_evidence,official_announcement_title_keyword,产业园,2026-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508088_20260721_W6Q7.pdf,国泰海通东久新经济产业园封闭式基础设施证券投资基金2026年第2季度报告
508089,renewable,official_title_evidence,official_announcement_title_keyword,新能源,2026-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508089_20260721_P5XX.pdf,华夏特变电工新能源封闭式基础设施证券投资基金2026年第2季度报告
508090,logistics,official_title_evidence,official_announcement_title_keyword,仓储物流,2026-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508090_20260721_KE9V.pdf,中银中外运仓储物流封闭式基础设施证券投资基金2026年第2季度报告
508091,retail,official_title_evidence,official_announcement_title_keyword,消费,2026-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508091_20260721_BFJ1.pdf,华夏凯德消费封闭式基础设施证券投资基金2026年第2季度报告
508092,industrial_park,official_title_evidence,official_announcement_title_keyword,产业园,2026-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508092_20260721_6OWI.pdf,华夏金隅智造工场产业园封闭式基础设施证券投资基金2026年第2季度报告
508093,toll_road,official_title_evidence,official_announcement_title_keyword,高速公路,2026-08-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-08-21/508093_20260821_1RZM.pdf,易方达广西北投高速公路封闭式基础设施证券投资基金关于不动产项目2026年7月主要运营数据的公告
508095,rental_housing,official_title_evidence,official_announcement_title_keyword,租赁住房,2026-09-04,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-09-04/508095_20260904_2YT9.pdf,国泰海通中国建筑租赁住房封闭式基础设施证券投资基金托管协议
508096,mixed_energy,human_verified,official_source_manual_review,2026年第2季度报告及光伏水电扩募后项目组合,,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508096_20260721_BTD8.pdf,中航京能国际能源REIT
508097,industrial_park,official_title_evidence,official_announcement_title_keyword,产业园,2026-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508097_20260721_2DPB.pdf,华泰紫金南京建邺产业园封闭式基础设施证券投资基金2026年第2季度报告
508098,logistics,official_title_evidence,official_announcement_title_keyword,仓储物流,2026-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508098_20260721_2EIN.pdf,嘉实京东仓储物流封闭式基础设施证券投资基金2026年第2季度报告
508099,industrial_park,official_title_evidence,official_announcement_title_keyword,产业园,2026-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508099_20260721_R4QU.pdf,建信中关村产业园封闭式基础设施证券投资基金2026年度第2季度报告
508600,retail,human_verified,official_source_manual_review,上交所上市交易公告,,https://www.sse.com.cn/disclosure/announcement/listing/c/c_20260617_10822602.shtml,汇添富上海地产商业REIT
508601,retail,human_verified,official_source_manual_review,上交所上市交易公告,,https://etf.sse.com.cn/disclosure/ssenotice/c/c_20260617_10822607.shtml,中信建投首农商业REIT
508602,retail,human_verified,official_source_manual_review,上交所上市交易公告,,https://www.sse.com.cn/disclosure/announcement/listing/c/c_20260617_10822605.shtml,国泰海通砂之船商业REIT
508603,retail,human_verified,official_source_manual_review,上交所上市交易公告,,https://etf.sse.com.cn/disclosure/ssenotice/c/c_20260617_10822608.shtml,中金唯品会商业REIT
508605,commercial_property,official_title_evidence,official_announcement_title_keyword,商业不动产,2026-07-31,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-31/508605_20260731_3GT6.pdf,华夏保利发展封闭式商业不动产证券投资基金基金产品资料概要更新
508606,commercial_property,official_title_evidence,official_announcement_title_keyword,商业不动产,2026-06-27,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-06-27/508606_20260627_MCJ7.pdf,华夏基金管理有限公司、中信证券股份有限公司关于华夏凯德封闭式商业不动产证券投资基金延期询价的公告
508607,retail,human_verified,official_source_manual_review,正式询价公告载明扩位简称和代码,,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-06-23/508607_20260623_JVPN.pdf,华安陆家嘴商业REIT
508609,retail,human_verified,official_source_manual_review,正式询价公告载明扩位简称和代码,,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-06-24/508609_20260624_W88R.pdf,华安锦江商业REIT
