symbol,asset_id,period_end,metric,value,unit,raw_value,raw_unit,publication_date,source_url,source_note
508096,hubei_jingtai_pv,2025-03-31,settlement_tariff,0.7083,RMB_per_kWh,0.7083,元/千瓦时（含税）,2025-04-22,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-04-22/508096_20250422_WDVS.pdf,项目级当期披露；最终实际结算均价
508096,hubei_jingtai_pv,2025-03-31,settlement_revenue,17000000,RMB,0.17,亿元（含税）,2025-04-22,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-04-22/508096_20250422_WDVS.pdf,项目级当期披露；报告值仅两位小数
508096,yulin_pv,2025-06-30,availability_rate,100,percent,100.00,%,2025-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-07-21/508096_20250721_YPD3.pdf,项目级当期披露；设备利用率口径
508096,yulin_pv,2025-06-30,power_generation,8000,10k_kWh,0.80,亿千瓦时,2025-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-07-21/508096_20250721_YPD3.pdf,项目级当期披露；报告值仅两位小数
508096,yulin_pv,2025-06-30,utilization_hours,242.46,hours,242.46,小时,2025-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-07-21/508096_20250721_YPD3.pdf,项目级当期披露；等效利用小时
508096,yulin_pv,2025-06-30,settled_electricity,7800,10k_kWh,0.78,亿千瓦时,2025-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-07-21/508096_20250721_YPD3.pdf,项目级当期披露；报告值仅两位小数
508096,yulin_pv,2025-06-30,settlement_tariff,0.7876,RMB_per_kWh,0.7876,元/千瓦时（含税）,2025-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-07-21/508096_20250721_YPD3.pdf,项目级当期披露；最终实际结算均价
508096,yulin_pv,2025-06-30,settlement_revenue,61000000,RMB,0.61,亿元（含税）,2025-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-07-21/508096_20250721_YPD3.pdf,项目级当期披露；报告值仅两位小数
508096,hubei_jingtai_pv,2025-06-30,availability_rate,99.94,percent,99.94,%,2025-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-07-21/508096_20250721_YPD3.pdf,项目级当期披露；设备利用率口径
508096,hubei_jingtai_pv,2025-06-30,power_generation,3400.0000000000005,10k_kWh,0.34,亿千瓦时,2025-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-07-21/508096_20250721_YPD3.pdf,项目级当期披露；报告值仅两位小数
508096,hubei_jingtai_pv,2025-06-30,utilization_hours,331.57,hours,331.57,小时,2025-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-07-21/508096_20250721_YPD3.pdf,项目级当期披露；等效利用小时
508096,hubei_jingtai_pv,2025-06-30,settled_electricity,3300,10k_kWh,0.33,亿千瓦时,2025-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-07-21/508096_20250721_YPD3.pdf,项目级当期披露；报告值仅两位小数
508096,hubei_jingtai_pv,2025-06-30,settlement_tariff,0.8057,RMB_per_kWh,0.8057,元/千瓦时（含税）,2025-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-07-21/508096_20250721_YPD3.pdf,项目级当期披露；最终实际结算均价
508096,hubei_jingtai_pv,2025-06-30,settlement_revenue,27000000,RMB,0.27,亿元（含税）,2025-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-07-21/508096_20250721_YPD3.pdf,项目级当期披露；报告值仅两位小数
508096,yulin_pv,2025-09-30,availability_rate,100,percent,100.00,%,2025-10-27,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-10-27/508096_20251027_34QT.pdf,项目级当期披露；设备利用率口径
508096,yulin_pv,2025-09-30,power_generation,8300,10k_kWh,0.83,亿千瓦时,2025-10-27,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-10-27/508096_20251027_34QT.pdf,项目级当期披露；报告值仅两位小数
508096,yulin_pv,2025-09-30,utilization_hours,250.94,hours,250.94,小时,2025-10-27,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-10-27/508096_20251027_34QT.pdf,项目级当期披露；等效利用小时
508096,yulin_pv,2025-09-30,settled_electricity,8100.000000000001,10k_kWh,0.81,亿千瓦时,2025-10-27,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-10-27/508096_20251027_34QT.pdf,项目级当期披露；报告值仅两位小数
508096,yulin_pv,2025-09-30,settlement_tariff,0.8778,RMB_per_kWh,0.8778,元/千瓦时（含税）,2025-10-27,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-10-27/508096_20251027_34QT.pdf,项目级当期披露；最终实际结算均价
508096,yulin_pv,2025-09-30,settlement_revenue,71000000,RMB,0.71,亿元（含税）,2025-10-27,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-10-27/508096_20251027_34QT.pdf,项目级当期披露；报告值仅两位小数
508096,hubei_jingtai_pv,2025-09-30,availability_rate,99.98,percent,99.98,%,2025-10-27,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-10-27/508096_20251027_34QT.pdf,项目级当期披露；设备利用率口径
508096,hubei_jingtai_pv,2025-09-30,power_generation,2900,10k_kWh,0.29,亿千瓦时,2025-10-27,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-10-27/508096_20251027_34QT.pdf,项目级当期披露；报告值仅两位小数
508096,hubei_jingtai_pv,2025-09-30,utilization_hours,285.7,hours,285.70,小时,2025-10-27,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-10-27/508096_20251027_34QT.pdf,项目级当期披露；等效利用小时
508096,hubei_jingtai_pv,2025-09-30,settled_electricity,2900,10k_kWh,0.29,亿千瓦时,2025-10-27,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-10-27/508096_20251027_34QT.pdf,项目级当期披露；报告值仅两位小数
508096,hubei_jingtai_pv,2025-09-30,settlement_tariff,0.8497,RMB_per_kWh,0.8497,元/千瓦时（含税）,2025-10-27,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-10-27/508096_20251027_34QT.pdf,项目级当期披露；最终实际结算均价
508096,hubei_jingtai_pv,2025-09-30,settlement_revenue,24000000,RMB,0.24,亿元（含税）,2025-10-27,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-10-27/508096_20251027_34QT.pdf,项目级当期披露；报告值仅两位小数
508096,yulin_pv,2025-12-31,availability_rate,100,percent,100.00,%,2026-01-22,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-01-22/508096_20260122_2ECJ.pdf,项目级当期披露；设备利用率口径
508096,yulin_pv,2025-12-31,power_generation,7200,10k_kWh,0.72,亿千瓦时,2026-01-22,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-01-22/508096_20260122_2ECJ.pdf,项目级当期披露；报告值仅两位小数
508096,yulin_pv,2025-12-31,utilization_hours,218.71,hours,218.71,小时,2026-01-22,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-01-22/508096_20260122_2ECJ.pdf,项目级当期披露；等效利用小时
508096,yulin_pv,2025-12-31,settled_electricity,7000,10k_kWh,0.70,亿千瓦时,2026-01-22,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-01-22/508096_20260122_2ECJ.pdf,项目级当期披露；报告值仅两位小数
508096,yulin_pv,2025-12-31,settlement_tariff,0.8125,RMB_per_kWh,0.8125,元/千瓦时（含税）,2026-01-22,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-01-22/508096_20260122_2ECJ.pdf,项目级当期披露；最终实际结算均价
508096,yulin_pv,2025-12-31,settlement_revenue,56999999.99999999,RMB,0.57,亿元（含税）,2026-01-22,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-01-22/508096_20260122_2ECJ.pdf,项目级当期披露；报告值仅两位小数
508096,hubei_jingtai_pv,2025-12-31,availability_rate,98.58,percent,98.58,%,2026-01-22,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-01-22/508096_20260122_2ECJ.pdf,项目级当期披露；设备利用率口径
508096,hubei_jingtai_pv,2025-12-31,power_generation,1600,10k_kWh,0.16,亿千瓦时,2026-01-22,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-01-22/508096_20260122_2ECJ.pdf,项目级当期披露；报告值仅两位小数
508096,hubei_jingtai_pv,2025-12-31,utilization_hours,153.1,hours,153.10,小时,2026-01-22,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-01-22/508096_20260122_2ECJ.pdf,项目级当期披露；等效利用小时
508096,hubei_jingtai_pv,2025-12-31,settled_electricity,1500,10k_kWh,0.15,亿千瓦时,2026-01-22,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-01-22/508096_20260122_2ECJ.pdf,项目级当期披露；报告值仅两位小数
508096,hubei_jingtai_pv,2025-12-31,settlement_tariff,1.052,RMB_per_kWh,1.0520,元/千瓦时（含税）,2026-01-22,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-01-22/508096_20260122_2ECJ.pdf,项目级当期披露；最终实际结算均价
508096,hubei_jingtai_pv,2025-12-31,settlement_revenue,16000000,RMB,0.16,亿元（含税）,2026-01-22,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-01-22/508096_20260122_2ECJ.pdf,项目级当期披露；报告值仅两位小数
508096,yulin_pv,2026-03-31,availability_rate,100,percent,100.00,%,2026-04-22,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-04-22/508096_20260422_A83Y.pdf,项目级当期披露；设备利用率口径
508096,yulin_pv,2026-03-31,power_generation,8100.000000000001,10k_kWh,0.81,亿千瓦时,2026-04-22,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-04-22/508096_20260422_A83Y.pdf,项目级当期披露；报告值仅两位小数
508096,yulin_pv,2026-03-31,utilization_hours,245.59,hours,245.59,小时,2026-04-22,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-04-22/508096_20260422_A83Y.pdf,项目级当期披露；等效利用小时
508096,yulin_pv,2026-03-31,settled_electricity,7900,10k_kWh,0.79,亿千瓦时,2026-04-22,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-04-22/508096_20260422_A83Y.pdf,项目级当期披露；报告值仅两位小数
508096,yulin_pv,2026-03-31,settlement_tariff,0.7191,RMB_per_kWh,0.7191,元/千瓦时（含税）,2026-04-22,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-04-22/508096_20260422_A83Y.pdf,项目级当期披露；最终实际结算均价
508096,yulin_pv,2026-03-31,settlement_revenue,56999999.99999999,RMB,0.57,亿元（含税）,2026-04-22,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-04-22/508096_20260422_A83Y.pdf,项目级当期披露；报告值仅两位小数
508096,hubei_jingtai_pv,2026-03-31,availability_rate,100,percent,100.00,%,2026-04-22,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-04-22/508096_20260422_A83Y.pdf,项目级当期披露；设备利用率口径
508096,hubei_jingtai_pv,2026-03-31,power_generation,1800,10k_kWh,0.18,亿千瓦时,2026-04-22,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-04-22/508096_20260422_A83Y.pdf,项目级当期披露；报告值仅两位小数
508096,hubei_jingtai_pv,2026-03-31,utilization_hours,174.59,hours,174.59,小时,2026-04-22,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-04-22/508096_20260422_A83Y.pdf,项目级当期披露；等效利用小时
508096,hubei_jingtai_pv,2026-03-31,settled_electricity,1800,10k_kWh,0.18,亿千瓦时,2026-04-22,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-04-22/508096_20260422_A83Y.pdf,项目级当期披露；报告值仅两位小数
508096,hubei_jingtai_pv,2026-03-31,settlement_tariff,0.8807,RMB_per_kWh,0.8807,元/千瓦时（含税）,2026-04-22,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-04-22/508096_20260422_A83Y.pdf,项目级当期披露；最终实际结算均价
508096,hubei_jingtai_pv,2026-03-31,settlement_revenue,15000000,RMB,0.15,亿元（含税）,2026-04-22,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-04-22/508096_20260422_A83Y.pdf,项目级当期披露；报告值仅两位小数
508096,yulin_pv,2026-06-30,availability_rate,99.95,percent,99.95,%,2026-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508096_20260721_BTD8.pdf,项目级当期披露；设备利用率口径
508096,yulin_pv,2026-06-30,power_generation,10300,10k_kWh,1.03,亿千瓦时,2026-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508096_20260721_BTD8.pdf,项目级当期披露；报告值仅两位小数
508096,yulin_pv,2026-06-30,utilization_hours,311.75,hours,311.75,小时,2026-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508096_20260721_BTD8.pdf,项目级当期披露；等效利用小时
508096,yulin_pv,2026-06-30,settled_electricity,10000,10k_kWh,1.00,亿千瓦时,2026-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508096_20260721_BTD8.pdf,项目级当期披露；报告值仅两位小数
508096,yulin_pv,2026-06-30,settlement_tariff,0.747,RMB_per_kWh,0.7470,元/千瓦时（含税）,2026-07-21,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/508096_20260721_BTD8.pdf,项目级当期披露；最终实际结算均价
